q,p1,r1,p2,r2
"cims:stereotype","rdf:Statement.object","""rdf""","rdf:Statements.object","uml:attribute"
"cims:stereotype","rdf:Statement.predicate","""rdf""","rdf:Statements.predicate","uml:attribute"
"cims:stereotype","rdf:Statement.subject","""rdf""","rdf:Statements.subject","uml:attribute"
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF 8 characters is limited to 2000.""","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy."""
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF- 8 characters is limited to 2000.""","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy."""
"rdfs:comment","dct:PowerSystemProjectGroup.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy."""
"rdfs:comment","dct:Resource.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy."""
"cims:stereotype","md:Model.description","""md""","cim:IdentifiedObject.description","uml:attribute"
"cims:stereotype","dct:PowerSystemProjectGroup.description","""dcterms""","cim:IdentifiedObject.description","uml:attribute"
"cims:stereotype","dct:Resource.description","""dcterms""","cim:IdentifiedObject.description","uml:attribute"
"cims:multiplicity","md:Model.description","cims:M:1..1","cim:IdentifiedObject.description","cims:M:0..1"
"rdfs:comment","nc:AreaDispatchableUnit.normalEnabled","""Identifies if the unit is normally enabled to accept a dispatch instruction. If true, the unit is enabled to accept a dispatch instruction. If false, the unit has the capability, but it is not enabled to receive a dispatch instruction.""","nc:AssessedElement.normalEnabled","""If true, the assessed element shall be considered under normal operating conditions."""
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","""NC""","nc:AssessedElement.normalEnabled","uml:attribute"
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","uml:attribute","nc:AssessedElement.normalEnabled","""NC"""
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:AssessedElementWithContingency.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:AssessedElementWithContingency.mRID","""NC"""
"rdfs:comment","nc:AssessedElement.normalEnabled","""If true, the assessed element shall be considered under normal operating conditions.""","nc:AssessedElementWithContingency.normalEnabled","""If true, the assessed element with contingency is enabled, otherwise it is disabled under normal operating conditions."""
"rdfs:comment","nc:AreaDispatchableUnit.normalEnabled","""Identifies if the unit is normally enabled to accept a dispatch instruction. If true, the unit is enabled to accept a dispatch instruction. If false, the unit has the capability, but it is not enabled to receive a dispatch instruction.""","nc:AssessedElementWithContingency.normalEnabled","""If true, the assessed element with contingency is enabled, otherwise it is disabled under normal operating conditions."""
"cims:stereotype","nc:AssessedElement.normalEnabled","""NC""","nc:AssessedElementWithContingency.normalEnabled","uml:attribute"
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","""NC""","nc:AssessedElementWithContingency.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElement.normalEnabled","uml:attribute","nc:AssessedElementWithContingency.normalEnabled","""NC"""
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","uml:attribute","nc:AssessedElementWithContingency.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:AssessedElementWithRemedialAction.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:AssessedElementWithRemedialAction.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:AssessedElementWithRemedialAction.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:AssessedElementWithRemedialAction.mRID","""NC"""
"rdfs:comment","nc:AssessedElement.normalEnabled","""If true, the assessed element shall be considered under normal operating conditions.""","nc:AssessedElementWithRemedialAction.normalEnabled","""If true, the assessed element with remedial action is enabled, otherwise it is disabled under normal operating conditions."""
"rdfs:comment","nc:AssessedElementWithContingency.normalEnabled","""If true, the assessed element with contingency is enabled, otherwise it is disabled under normal operating conditions.""","nc:AssessedElementWithRemedialAction.normalEnabled","""If true, the assessed element with remedial action is enabled, otherwise it is disabled under normal operating conditions."""
"rdfs:comment","nc:AreaDispatchableUnit.normalEnabled","""Identifies if the unit is normally enabled to accept a dispatch instruction. If true, the unit is enabled to accept a dispatch instruction. If false, the unit has the capability, but it is not enabled to receive a dispatch instruction.""","nc:AssessedElementWithRemedialAction.normalEnabled","""If true, the assessed element with remedial action is enabled, otherwise it is disabled under normal operating conditions."""
"cims:stereotype","nc:AssessedElement.normalEnabled","""NC""","nc:AssessedElementWithRemedialAction.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElementWithContingency.normalEnabled","""NC""","nc:AssessedElementWithRemedialAction.normalEnabled","uml:attribute"
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","""NC""","nc:AssessedElementWithRemedialAction.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElement.normalEnabled","uml:attribute","nc:AssessedElementWithRemedialAction.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.normalEnabled","uml:attribute","nc:AssessedElementWithRemedialAction.normalEnabled","""NC"""
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","uml:attribute","nc:AssessedElementWithRemedialAction.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:CrossBorderRelevance.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:CrossBorderRelevance.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:CrossBorderRelevance.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:CrossBorderRelevance.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:CrossBorderRelevance.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:CrossBorderRelevance.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:CrossBorderRelevance.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:CrossBorderRelevance.mRID","""NC"""
"rdfs:comment","nc:AssessedElement.normalEnabled","""If true, the assessed element shall be considered under normal operating conditions.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"rdfs:comment","nc:AssessedElementWithContingency.normalEnabled","""If true, the assessed element with contingency is enabled, otherwise it is disabled under normal operating conditions.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"rdfs:comment","nc:AssessedElementWithRemedialAction.normalEnabled","""If true, the assessed element with remedial action is enabled, otherwise it is disabled under normal operating conditions.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"rdfs:comment","nc:AreaDispatchableUnit.normalEnabled","""Identifies if the unit is normally enabled to accept a dispatch instruction. If true, the unit is enabled to accept a dispatch instruction. If false, the unit has the capability, but it is not enabled to receive a dispatch instruction.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"rdfs:comment","nc:AutomationFunction.normalEnabled","""True, if the automation function is enabled (active). Otherwise false.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"rdfs:comment","nc:ContingencyWithRemedialAction.normalEnabled","""If true, the contingency with remedial action is enabled, otherwise it is disabled under normal operating conditions.""","nc:CrossBorderRelevance.normalEnabled","""If true, the cross border relevance shall be considered under normal operating conditions."""
"cims:stereotype","nc:AssessedElement.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElementWithContingency.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:AutomationFunction.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.normalEnabled","""NC""","nc:CrossBorderRelevance.normalEnabled","uml:attribute"
"cims:stereotype","nc:AssessedElement.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"cims:stereotype","nc:AreaDispatchableUnit.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"cims:stereotype","nc:AutomationFunction.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.normalEnabled","uml:attribute","nc:CrossBorderRelevance.normalEnabled","""NC"""
"rdfs:comment","nc:AssessedElementRegularTimePoint.enabled","""It identifies if the assessed element is enabled. True means enabled, False means disabled.""","nc:AvailabilityEnabled.enabled","""Instruction to enable or disable alteration and assessment."""
"rdfs:comment","nc:AssessedElementTimePoint.enabled","""It identifies if the assessed element is enabled. True means enabled, False means disabled.""","nc:AvailabilityEnabled.enabled","""Instruction to enable or disable alteration and assessment."""
