p1,r1,p2,r2
cim:Status.value,xsd:string,nc:AvailabilityExceptionalLimit.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:AvailabilityExceptionalLimit.value,xsd:float
cim:Command.value,xsd:integer,nc:AvailabilityExceptionalLimit.value,xsd:float
cim:ValueToAlias.value,xsd:integer,nc:AvailabilityExceptionalLimit.value,xsd:float
cim:TownDetail.section,xsd:string,nc:TCSCCompensationPoint.section,xsd:integer
cim:Command.normalValue,xsd:integer,nc:VoltageAngleLimit.normalValue,xsd:float
cim:DiagramObjectPoint.xPosition,xsd:float,cim:PositionPoint.xPosition,xsd:string
cim:DiagramObjectPoint.yPosition,xsd:float,cim:PositionPoint.yPosition,xsd:string
cim:DiagramObjectPoint.zPosition,xsd:float,cim:PositionPoint.zPosition,xsd:string
md:Model.version,xsd:integer,dcat:Resource.version,xsd:string
cim:Command.normalValue,xsd:integer,nc:RangeConstraint.normalValue,xsd:float
cim:Status.value,xsd:string,nc:GenericValueTimePoint.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:GenericValueTimePoint.value,xsd:float
cim:Command.value,xsd:integer,nc:GenericValueTimePoint.value,xsd:float
cim:ValueToAlias.value,xsd:integer,nc:GenericValueTimePoint.value,xsd:float
nc:GateInputPin.absoluteValue,xsd:boolean,nc:PowerFlowResult.absoluteValue,xsd:float
nc:MeasurementCalculatorInput.absoluteValue,xsd:boolean,nc:PowerFlowResult.absoluteValue,xsd:float
cim:Status.value,xsd:string,nc:PowerFlowResult.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:PowerFlowResult.value,xsd:float
cim:Command.value,xsd:integer,nc:PowerFlowResult.value,xsd:float
cim:ValueToAlias.value,xsd:integer,nc:PowerFlowResult.value,xsd:float
cim:Status.value,xsd:string,nc:ControllableQuantity.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:ControllableQuantity.value,xsd:float
cim:Command.value,xsd:integer,nc:ControllableQuantity.value,xsd:float
cim:ValueToAlias.value,xsd:integer,nc:ControllableQuantity.value,xsd:float
cim:Status.value,xsd:string,nc:SensitivityFactor.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:SensitivityFactor.value,xsd:float
cim:Command.value,xsd:integer,nc:SensitivityFactor.value,xsd:float
cim:ValueToAlias.value,xsd:integer,nc:SensitivityFactor.value,xsd:float
cim:RegularIntervalSchedule.endTime,xsd:dateTime,nc:HourPeriod.endTime,xsd:time
cim:BasicIntervalSchedule.startTime,xsd:dateTime,nc:HourPeriod.startTime,xsd:time
cim:GeneratingUnit.minimumOffTime,xsd:float,nc:PowerBidSchedule.minimumOffTime,xsd:duration
cim:Status.value,xsd:string,nc:VoltageAngleTimePoint.value,xsd:float
cim:AccumulatorLimit.value,xsd:integer,nc:VoltageAngleTimePoint.value,xsd:float
