?x	?p	?label
<https://cim.ucaiug.io/ns#UnitSymbol.W>	<http://www.w3.org/2000/01/rdf-schema#comment>	Real power in watts (J/s). Electrical power may have real and reactive components. The real portion of electrical power (I&#178;R or VIcos(phi)), is expressed in Watts. See also apparent power and reactive power.
<https://cim4.eu/ns/nc#AvailabilityScheduleCauseKind.functionalControl>	<http://www.w3.org/2000/01/rdf-schema#comment>	The cause is due to a functional control (in &amp; out).
<https://cim4.eu/ns/nc#DCHighSpeedSwitch>	<http://www.w3.org/2000/01/rdf-schema#comment>	High-speed DC switch (IEC 60633) is a type of switchgear used on a DC scheme, required to open or close rapidly (&lt; 1 s), including in some cases the need to commutate load current into a parallel conducting path, but with no requirement to interrupt fault or load current. DC switchgear is usually based on a single-phase unit of an AC circuit-breaker, appropriately modified for their DC applications. Their capabilities to perform faster opening and closing than disconnect switches are used but the function of breaking short-circuit currents is not required.
<https://cim4.eu/ns/nc#StaticSynchronousSeriesCompensator>	<http://www.w3.org/2000/01/rdf-schema#comment>	"Static synchronous series compensator (SSSC) is a type of flexible AC transmission system which consists of a solid-state voltage source inverter coupled with a transformer that is connected in series with a transmission line. This device can inject an almost sinusoidal voltage in series with the line. This injected voltage could be considered as an inductive or capacitive reactance, which is connected in series with the transmission line. This feature can provide controllable voltage compensation. In addition, SSSC is able to reverse the power flow by injecting a sufficiently large series reactive compensating voltage. Moreover it can inject a voltage proportional to the difference between the line current and the pre-configured current threshold.<font color=\"#636671\"> </font>It shall have two Terminal-s associated with it. "
<https://cim4.eu/ns/Metadata-European#Model.applicationSoftware>	<http://www.w3.org/2000/01/rdf-schema#comment>	"Identifies the application software which generated this instance file. The application software term is defined in ISO/IEC/IEEE 24765:2017. The application software can be identified either:\n- as a string which contains information on the software name and version, e.g. &lt;tool_name&gt;-&lt;major_version&gt;.&lt;minor_version&gt;.&lt;patch&gt;, or\n- as a reference to a software identification tag as defined by ISO/IEC 19770-2:2015 and ISO/IEC/IEEE 24765:2017."
<http://iec.ch/TC57/61970-552/ModelDescription/1#Model.created>	<http://www.w3.org/2000/01/rdf-schema#comment>	The date and time when the model was created. It is the time of the serialization. The format is an extended format according to the ISO 8601-2005. European exchanges shall refer to UTC, e.g. &lt;md:Model.created&gt;2014-05-15T17:48:31.474Z&lt;/md:Model.created&gt;.
<http://iec.ch/TC57/61970-552/ModelDescription/1#Model.scenarioTime>	<http://www.w3.org/2000/01/rdf-schema#comment>	The date and time that this model represents, i.e. for which the model is valid. The format is an extended format according to the ISO 8601-2005. European exchanges shall refer to UTC, e.g. &lt;md:Model.scenarioTime&gt;2030-01-15T17:00:00.000Z&lt;/md:Model.scenarioTime&gt;.
<https://cim.ucaiug.io/ns#Name>	<http://www.w3.org/2000/01/rdf-schema#comment>	The Name class provides the means to define any number of human readable  names for an object. A name is <b>not</b> to be used for defining inter-object relationships. For inter-object relationships instead use the object identification 'mRID'.
<https://cim4.eu/ns/nc#RemedialActionDependency>	<http://www.w3.org/2000/01/rdf-schema#comment>	"Remedial action dependency is making two remedial actions depending on each other. Multiple dependency is done by multiple instances of this class. The dependency can arrive by having one of the following examples.\n<ul>\n\t<li>The dependent remedial action is controlled by different system operator (Modeling Authority)  (e.g. SIPS that goes across control area).</li>\n\t<li>The dependent remedial action is representing  two or more remedial action that represent the same grid state alteration but with different modeling resolution (e.g. detail direct current model versus a simplified model).</li>\n\t<li>The remedial action can be combined with other remedial action without the need to create multiple remedial action with the same grid alteration for enabling dependency.</li>\n</ul>"
<https://cim4.eu/ns/nc#CsConverterRegularSchedule.targetAlpha>	<http://www.w3.org/2000/01/rdf-schema#comment>	Target firing angle. It is converter’s control variable used in power flow. It is only applicable for rectifier if continuous tap changer control is used. Allowed values are within the range minAlpha&lt;=targetAlpha&lt;=maxAlpha. The attribute shall be a positive value.
<https://cim4.eu/ns/nc#CsConverterRegularSchedule.targetGamma>	<http://www.w3.org/2000/01/rdf-schema#comment>	Target extinction angle. It is converter’s control variable used in power flow. It is only applicable for inverter if continuous tap changer control is used. Allowed values are within the range minGamma&lt;=targetGamma&lt;=maxGamma. The attribute shall be a positive value.
<https://cim4.eu/ns/nc#CsConverterTimePoint.targetAlpha>	<http://www.w3.org/2000/01/rdf-schema#comment>	Target firing angle. It is converter’s control variable used in power flow. It is only applicable for rectifier if continuous tap changer control is used. Allowed values are within the range minAlpha&lt;=targetAlpha&lt;=maxAlpha. The attribute shall be a positive value.
<https://cim4.eu/ns/nc#CsConverterTimePoint.targetGamma>	<http://www.w3.org/2000/01/rdf-schema#comment>	Target extinction angle. It is converter’s control variable used in power flow. It is only applicable for inverter if continuous tap changer control is used. Allowed values are within the range minGamma&lt;=targetGamma&lt;=maxGamma. The attribute shall be a positive value.
<https://cim4.eu/ns/nc#SwitchRegularSchedule.locked>	<http://www.w3.org/2000/01/rdf-schema#comment>	"If true, the switch is locked. The resulting switch state is a combination of locked and Switch.open attributes as follows:\n<ul>\n\t<li>locked=true and Switch.open=true. The resulting state is open and locked;</li>\n\t<li>locked=false and Switch.open=true. The resulting state is open;</li>\n\t<li>locked=false and Switch.open=false. The resulting state is closed.</li>\n</ul>"
<https://cim4.eu/ns/nc#SwitchTimePoint.locked>	<http://www.w3.org/2000/01/rdf-schema#comment>	"If true, the switch is locked. The resulting switch state is a combination of locked and Switch.open attributes as follows:\n<ul>\n\t<li>locked=true and Switch.open=true. The resulting state is open and locked;</li>\n\t<li>locked=false and Switch.open=true. The resulting state is open;</li>\n\t<li>locked=false and Switch.open=false. The resulting state is closed.</li>\n</ul>"
<https://cim4.eu/ns/nc#DCSwitch.locked>	<http://www.w3.org/2000/01/rdf-schema#comment>	"If true, the switch is locked. The resulting switch state is a combination of locked and DCSwitch.open attributes as follows:\n<ul>\n\t<li>locked=true and DCSwitch.open=true. The resulting state is open and locked;</li>\n\t<li>locked=false and DCSwitch.open=true. The resulting state is open;</li>\n\t<li>locked=false and DCSwitch.open=false. The resulting state is closed.</li>\n</ul>"
<https://cim4.eu/ns/nc#SSSCControlModeKind.currentDroop>	<http://www.w3.org/2000/01/rdf-schema#comment>	"<font color=\"#636671\">The device injects a voltage proportional to the difference between the line current and the target value of the CurrentDroopControlFunction. There are capacitive and inductive operational regions.</font>"
<https://cim4.eu/ns/nc#SSSCControlModeKind.effectiveReactance>	<http://www.w3.org/2000/01/rdf-schema#comment>	"<font color=\"#636671\">The device injects a voltage proportional to the line current to achieve the specified target value defined by the ImpedanceControlFunction. The voltage will vary according to the line current level.</font>"
<https://cim4.eu/ns/nc#SSSCControlModeKind.monitoring>	<http://www.w3.org/2000/01/rdf-schema#comment>	"<font color=\"#636671\">The device bypasses and a voltage injection is close to zero. In monitoring mode current is monitored.</font>"
<https://cim4.eu/ns/nc#SSSCControlModeKind.voltageInjection>	<http://www.w3.org/2000/01/rdf-schema#comment>	"<font color=\"#636671\">The device injects a fixed voltage that is either inductive or capacitive according to the specified target value of the VoltageInjectionControlFunction. The effective reactance varies according to the flow of the line current.</font>"
